Month,precip,wind,temp,blh,City
1,94.6,11.63225806451613,-4.841935483870968,257.6008064516129,Al
2,59.0,13.617857142857144,-0.9607142857142857,381.01934523809524,Al
3,56.8,11.074193548387097,-4.464516129032258,321.5389784946237,Al
4,90.3,10.756666666666666,1.2066666666666668,382.03472222222223,Al
5,40.3,13.538709677419355,6.641935483870968,558.3602150537635,Al
6,62.5,12.05,15.623333333333333,730.1388888888889,Al
7,188.2,11.864516129032259,13.45483870967742,578.0040322580645,Al
8,308.5,10.558064516129033,13.0,411.9758064516129,Al
9,108.3,14.05,11.473333333333333,474.59722222222223,Al
10,32.9,15.02258064516129,2.616129032258064,488.68279569892474,Al
11,65.2,9.92,-3.8833333333333333,171.8125,Al
12,70.3,10.680645161290323,-7.161290322580645,167.372311827957,Al
1,194.0,19.57741935483871,26.687096774193545,435.1948924731183,Phang
2,320.9,21.282142857142855,26.150000000000002,461.69642857142856,Phang
3,221.2,15.751612903225807,26.206451612903226,348.6491935483871,Phang
4,120.1,14.773333333333333,27.216666666666665,365.72222222222223,Phang
5,84.10000000000001,14.829032258064515,27.919354838709676,367.05645161290323,Phang
6,71.8,15.25,27.923333333333336,391.7361111111111,Phang
7,106.2,14.345161290322581,27.506451612903227,430.6518817204301,Phang
8,9.5,19.016129032258064,28.387096774193548,544.5228494623656,Phang
9,13.6,20.009999999999998,28.706666666666667,606.5694444444445,Phang
10,39.9,19.05806451612903,29.583870967741937,595.8064516129032,Phang
11,313.5,14.03,28.016666666666666,401.2708333333333,Phang
12,266.7,12.006451612903225,27.729032258064517,355.8198924731183,Phang
